Author,Comment
@blvanhquan68,"Chúc mừng Viettel đã lên ngôi V.League 1 mùa giải này!!<br>Hiện tại, những thông tin về bóng đá Việt Nam sẽ được cập nhật liên tục tại: <a href=""https://www.youtube.com/channel/UCCBwmJaVIB220c5sWdE28XQ"">https://www.youtube.com/channel/UCCBwmJaVIB220c5sWdE28XQ</a><br>Các bạn hãy đăng ký và nhấn chuông để theo dõi nhé."
@hihieas,Biết là VĂN QUYẾN sai nhưng mà nói đúng cầu thủ VN mang nhiều cảm xúc thì VĂN QUYẾN là người mang lại nhiều nhất
@NghinhBinh-u4p,Vẫn là đỉnh cao
@Fox17vn,xin hoi tai sao ko thi dau nua
@truongthan9998,Loại người bán dẻ đất nước
@Nguyen86vietducPhugiatuan,1 thg chăn bò đi đá bóng quốc gia thì ko bán độ mới lạ
@tuanfc4699,"Dù đã qua cách đây 20 năm rùi,nhưng lối đá VQ là tài năng bẩm sinh.Lối đá hiện đại ,tư duy chơi bóng tầm châu âu ,ngay cả bây giờ chưa cầu thủ nào vn dám cầm bóng dứt điểm như VQ.Tiếc ..."
@nghile404,"Hồi còn nhỏ xíu xìu xiu, nhà là trại gỗ, có nhiều thợ làm. Lúc đó mấy chú thợ mê đá banh, mình thì nhỏ xíu chỉ mới biết đá banh là 2 đội tranh nhau trái bóng là đã nghe tên Văn Quyến rồi. Nghe mấy cậu cứ nói mãi “ Văn Quyến, Văn Quyến”, mình nghe cái tên cũng sáng sủa cũng hỏi Văn Quyến là ai thì mấy cậu nói là đá hay lắm. Song…. 1 2 tuần sau nghe mấy cậu ngán ngẫm “bán độ rồi”"
@bongcuoivip,Văn quyến hay mà lầm đường lạc lối. Còn Công Phượng thì còn lâu mới bằng đc a. Đội tuyển VN mình còn kêu CP lên tuyển thì bóng đá nước nhà có mà dậm chân tại chỗ hoặc thục lùi
@bl6739,Có tài mà ko có đức thì cũng vất
@thienmai2057,Trăm năm Việt Nam mới có 1 thiên tài bóng đá
@thinhloveyen2004,Bóng đá Việt Nam ko ai có thể qua được cậu bé vàng Văn Quyến❤❤❤
@HânPhạm-t6e,Thời gian trôi nhanh thật đấy đã 5 năm rồi😢😢😢😢
@nguyenvannha4340,Idol bán độ
@TuấnNguyễn-f2d,Ai trách chứ tôi ko thời điểm đó cầu thủ đi phụ hồ vs bán bánh mỳ ms sống đc .VFF ăn cả cứt ( hơi bậy tý ) ai sống đc.
@ThanhTran-ty3dv,Thiern tài sinh nhầm thời đại. Lạc lối
@CR-zj9ey,thần tượng 1 thời của mình.xem lại vẫn tiếc và buồn cho Văn Quyến
@thomasvn369,Sao như kiểu neyma v 😮❤
@TyGuyen-w8t,Ronadinho so 10. Zidan so 10.toti so 10. Van quyen cung so 10 nhung xa nga that tiet
@tuanh758,"Hảy hỏi bọn thái lan xem chúng nó sợ ai nhất, tin chắc rằng đó là văn quyến, pha đảo người rồi cứa lòng vào góc xa khung thành đã vẻ nên 1 vòng cung đầy cảm xúc, hòa 1-1 nhưng việt nam đã ko còn bị lép vế khi đã có nhạc trưởng quyến béo, thích quyến bao nhiêu thì nghe tin bị bắt lại càng thất vọng bấy nhiêu, cảm giác lúc đấy là vỡ vụn"
@mechanism8794,"Huyền thoại VN , hơi đáng tiếc"
@anhuu6225,còn ông Quốc Anh nữa. đá như châu âu mà đang thăng hoa thì . . .
@lapquayvong4372,giống với nhân bật Cầu Thủ Chân Vàng trong Đội Bóng Thiếu Lâm
@KhoaLê-y4d,mọe mấy thằng cờ hó cá độ
